Transaction Date,Description,Category,Type,Amount,Running Balance
01/15/2025,AMAZON.COM AMZN.COM/BILL,Merchandise,DEBIT,-45.67,1250.33
01/16/2025,STARBUCKS COFFEE #1234,Food & Drink,DEBIT,-5.89,1244.44
01/17/2025,DIRECT DEPOSIT PAYROLL,Payroll & Benefits,CREDIT,2500.00,3744.44
01/18/2025,NETFLIX.COM,Entertainment,DEBIT,-15.99,3728.45
01/19/2025,SHELL OIL #4567,Gas & Fuel,DEBIT,-52.30,3676.15
01/20/2025,WHOLE FOODS MARKET,Groceries,DEBIT,-89.45,3586.70
01/21/2025,UBER TRIP,Transportation,DEBIT,-12.50,3574.20
01/22/2025,APPLE.COM/BILL,Merchandise,DEBIT,-2.99,3571.21
01/23/2025,ATM WITHDRAWAL,Cash & ATM,DEBIT,-60.00,3511.21
01/24/2025,SPOTIFY PREMIUM,Entertainment,DEBIT,-9.99,3501.22
