Date,Description,Amount,Balance,Type
2024-01-15,AMAZON.COM AMZN.COM/BILL,-45.67,1250.33,DEBIT
2024-01-16,STARBUCKS COFFEE #1234,-5.89,1244.44,DEBIT
2024-01-17,DIRECT DEPOSIT PAYROLL,2500.00,3744.44,CREDIT
2024-01-18,NETFLIX.COM,-15.99,3728.45,DEBIT
2024-01-19,SHELL OIL #4567,-52.30,3676.15,DEBIT
2024-01-20,WHOLE FOODS MARKET,-89.45,3586.70,DEBIT
2024-01-21,UBER TRIP,-12.50,3574.20,DEBIT
2024-01-22,APPLE.COM/BILL,-2.99,3571.21,DEBIT
2024-01-23,ATM WITHDRAWAL,-60.00,3511.21,DEBIT
2024-01-24,SPOTIFY PREMIUM,-9.99,3501.22,DEBIT
